"","WORDSUM","AGE","SEX","RACE","EDUC","YEAR","B.YEAR"
"186","6","31","MALE","WHITE","12",1974,NA
"187","5","72","MALE","WHITE","10",1974,NA
"188","5","23","FEMALE","WHITE","12",1974,NA
"189","6","54","FEMALE","WHITE","13",1974,NA
"190","8","38","FEMALE","WHITE","15",1974,NA
"191","5","56","MALE","BLACK","11",1974,NA
"192","6","62","MALE","BLACK","8",1974,NA
"193","4","41","FEMALE","BLACK","11",1974,NA
"195","3","30","FEMALE","BLACK","15",1974,NA
"196","4","21","MALE","WHITE","9",1974,NA
"197","6","37","MALE","WHITE","16",1974,NA
"199","9","24","FEMALE","WHITE","13",1974,NA
"200","4","23","FEMALE","WHITE","12",1974,NA
"201","6","69","MALE","WHITE","11",1974,NA
"202","1","44","MALE","WHITE","12",1974,NA
"203","2","65","FEMALE","WHITE","12",1974,NA
"204","10","55","FEMALE","WHITE","15",1974,NA
"205","7","59","FEMALE","WHITE","8",1974,NA
"206","6","43","MALE","WHITE","20",1974,NA
"207","6","52","MALE","WHITE","10",1974,NA
"208","7","54","FEMALE","WHITE","12",1974,NA
"209","10","43","FEMALE","WHITE","16",1974,NA
"210","10","46","FEMALE","WHITE","14",1974,NA
"211","5","72","MALE","WHITE","6",1974,NA
"212","8","68","MALE","WHITE","11",1974,NA
"213","10","69","FEMALE","WHITE","16",1974,NA
"214","6","64","FEMALE","WHITE","8",1974,NA
"215","6","48","FEMALE","WHITE","12",1974,NA
"216","4","29","MALE","WHITE","12",1974,NA
"217","3","70","MALE","WHITE","8",1974,NA
"218","3","80","MALE","WHITE","8",1974,NA
"219","5","61","FEMALE","WHITE","10",1974,NA
"220","3","33","FEMALE","WHITE","10",1974,NA
"221","9","26","MALE","WHITE","16",1974,NA
"222","9","36","MALE","WHITE","18",1974,NA
"223","6","53","MALE","WHITE","12",1974,NA
"224","8","56","FEMALE","WHITE","17",1974,NA
"225","8","54","FEMALE","WHITE","12",1974,NA
"226","4","35","MALE","WHITE","12",1974,NA
"227","7","49","MALE","WHITE","12",1974,NA
"228","4","69","MALE","WHITE","7",1974,NA
"229","7","38","FEMALE","OTHER","13",1974,NA
"230","9","75","FEMALE","WHITE","16",1974,NA
"231","6","35","MALE","WHITE","12",1974,NA
"232","2","66","MALE","WHITE","4",1974,NA
"233","4","74","MALE","WHITE","8",1974,NA
"234","4","80","FEMALE","WHITE","6",1974,NA
"235","6","34","FEMALE","WHITE","11",1974,NA
"236","3","22","MALE","WHITE","12",1974,NA
"237","10","52","MALE","WHITE","13",1974,NA
"238","9","81","FEMALE","WHITE","12",1974,NA
"239","7","25","FEMALE","WHITE","10",1974,NA
"240","4","19","FEMALE","WHITE","12",1974,NA
"241","5","23","MALE","WHITE","13",1974,NA
"242","4","20","MALE","WHITE","11",1974,NA
"243","3","74","MALE","WHITE","7",1974,NA
"244","8","45","FEMALE","WHITE","9",1974,NA
"245","9","61","FEMALE","WHITE","16",1974,NA
"246","9","71","MALE","WHITE","20",1974,NA
"247","10","47","MALE","WHITE","17",1974,NA
"248","10","67","FEMALE","WHITE","12",1974,NA
"249","9","28","FEMALE","WHITE","16",1974,NA
"250","6","59","FEMALE","WHITE","12",1974,NA
"251","4","31","MALE","WHITE","8",1974,NA
"252","9","36","MALE","WHITE","18",1974,NA
"253","2","30","FEMALE","WHITE","13",1974,NA
"254","6","38","FEMALE","WHITE","13",1974,NA
"255","4","25","FEMALE","WHITE","10",1974,NA
"256","8","18","MALE","WHITE","11",1974,NA
"257","8","59","MALE","WHITE","10",1974,NA
"258","3","59","MALE","WHITE","9",1974,NA
"259","4","74","FEMALE","WHITE","11",1974,NA
"260","5","44","FEMALE","WHITE","12",1974,NA
"261","7","35","MALE","WHITE","13",1974,NA
"262","4","75","MALE","WHITE","8",1974,NA
"264","5","20","FEMALE","WHITE","13",1974,NA
"265","5","72","FEMALE","WHITE","12",1974,NA
"266","5","57","MALE","WHITE","7",1974,NA
"268","3","36","FEMALE","WHITE","12",1974,NA
"269","7","53","FEMALE","WHITE","12",1974,NA
"270","5","55","FEMALE","WHITE","8",1974,NA
"271","4","60","MALE","WHITE","11",1974,NA
"272","7","56","MALE","WHITE","18",1974,NA
"273","7","32","FEMALE","WHITE","12",1974,NA
"274","6","50","FEMALE","WHITE","9",1974,NA
"275","9","39","FEMALE","WHITE","12",1974,NA
"276","8","56","MALE","WHITE","14",1974,NA
"277","8","52","MALE","WHITE","15",1974,NA
"278","5","52","FEMALE","WHITE","12",1974,NA
"279","8","67","FEMALE","WHITE","12",1974,NA
"280","7","52","FEMALE","WHITE","12",1974,NA
"281","3","47","MALE","WHITE","0",1974,NA
"282","7","69","MALE","WHITE","16",1974,NA
"283","5","51","FEMALE","WHITE","9",1974,NA
"284","7","26","FEMALE","WHITE","12",1974,NA
"285","7","24","FEMALE","WHITE","12",1974,NA
"286","7","24","MALE","WHITE","14",1974,NA
"287","10","67","MALE","WHITE","11",1974,NA
"288","9","72","MALE","WHITE","8",1974,NA
"289","1","33","FEMALE","BLACK","12",1974,NA
"290","6","49","FEMALE","WHITE","12",1974,NA
"291","8","33","MALE","WHITE","13",1974,NA
"292","7","39","MALE","WHITE","12",1974,NA
"293","8","57","FEMALE","WHITE","10",1974,NA
"294","8","25","FEMALE","WHITE","12",1974,NA
"295","6","27","MALE","BLACK","14",1974,NA
"296","7","42","MALE","BLACK","12",1974,NA
"297","6","43","MALE","WHITE","12",1974,NA
"298","10","62","FEMALE","WHITE","12",1974,NA
"299","10","26","FEMALE","WHITE","17",1974,NA
"300","4","69","MALE","WHITE","8",1974,NA
"301","9","41","MALE","WHITE","19",1974,NA
"302","9","41","FEMALE","WHITE","12",1974,NA
"303","8","30","FEMALE","WHITE","15",1974,NA
"304","10","47","FEMALE","WHITE","13",1974,NA
"305","5","32","MALE","WHITE","12",1974,NA
"306","5","61","MALE","BLACK","12",1974,NA
"307","7","61","MALE","BLACK","12",1974,NA
"308","7","39","FEMALE","WHITE","12",1974,NA
"309","6","28","FEMALE","BLACK","13",1974,NA
"310","9","31","MALE","WHITE","12",1974,NA
"311","5","29","MALE","WHITE","12",1974,NA
"312","5","61","MALE","WHITE","12",1974,NA
"313","6","42","FEMALE","WHITE","12",1974,NA
"314","4","23","FEMALE","WHITE","12",1974,NA
"315","7","28","MALE","WHITE","12",1974,NA
"316","6","42","MALE","WHITE","12",1974,NA
"318","6","34","FEMALE","WHITE","16",1974,NA
"319","5","25","FEMALE","WHITE","12",1974,NA
"320","5","20","MALE","WHITE","13",1974,NA
"321","5","43","MALE","WHITE","18",1974,NA
"322","8","32","FEMALE","WHITE","15",1974,NA
"323","4","29","FEMALE","WHITE","12",1974,NA
"324","7","27","MALE","WHITE","16",1974,NA
"325","7","52","MALE","WHITE","18",1974,NA
"326","6","28","FEMALE","WHITE","14",1974,NA
"327","6","24","FEMALE","WHITE","12",1974,NA
"328","8","25","FEMALE","WHITE","13",1974,NA
"329","7","73","MALE","WHITE","11",1974,NA
"330","5","54","MALE","WHITE","8",1974,NA
"331","4","70","FEMALE","WHITE","6",1974,NA
"332","8","51","FEMALE","WHITE","14",1974,NA
"333","10","58","FEMALE","WHITE","15",1974,NA
"334","7","21","MALE","BLACK","12",1974,NA
"335","2","50","MALE","BLACK","3",1974,NA
"336","3","65","FEMALE","BLACK","6",1974,NA
"337","4","45","FEMALE","WHITE","7",1974,NA
"338","4","26","FEMALE","WHITE","8",1974,NA
"339","7","31","MALE","WHITE","14",1974,NA
"340","7","42","MALE","WHITE","13",1974,NA
"341","7","59","FEMALE","WHITE","12",1974,NA
"342","4","66","FEMALE","OTHER","8",1974,NA
"343","9","59","FEMALE","WHITE","12",1974,NA
"344","6","30","MALE","WHITE","12",1974,NA
"345","7","51","MALE","WHITE","16",1974,NA
"346","7","51","MALE","WHITE","16",1974,NA
"347","10","40","FEMALE","WHITE","14",1974,NA
"348","9","55","FEMALE","WHITE","14",1974,NA
"349","4","30","MALE","BLACK","12",1974,NA
"350","4","54","MALE","BLACK","12",1974,NA
"351","5","30","FEMALE","BLACK","12",1974,NA
"352","6","30","FEMALE","BLACK","12",1974,NA
"353","4","54","FEMALE","BLACK","10",1974,NA
"354","7","27","MALE","WHITE","13",1974,NA
"355","3","78","MALE","WHITE","7",1974,NA
"356","7","72","MALE","WHITE","7",1974,NA
"357","5","19","FEMALE","WHITE","11",1974,NA
"358","4","46","FEMALE","WHITE","12",1974,NA
"359","7","26","MALE","WHITE","13",1974,NA
"360","6","76","MALE","WHITE","10",1974,NA
"361","10","57","MALE","WHITE","17",1974,NA
"362","9","43","FEMALE","WHITE","18",1974,NA
"363","9","60","FEMALE","WHITE","12",1974,NA
"364","1","22","MALE","WHITE","11",1974,NA
"365","6","53","MALE","WHITE","8",1974,NA
"366","5","81","FEMALE","WHITE","5",1974,NA
"367","4","57","FEMALE","WHITE","8",1974,NA
"368","6","25","FEMALE","WHITE","13",1974,NA
"369","5","18","MALE","WHITE","12",1974,NA
"370","4","61","MALE","WHITE","12",1974,NA
"371","5","59","MALE","WHITE","8",1974,NA
"372","6","52","FEMALE","WHITE","12",1974,NA
"373","5","61","FEMALE","WHITE","15",1974,NA
"374","2","30","MALE","BLACK","12",1974,NA
"375","6","50","MALE","BLACK","4",1974,NA
"376","3","38","FEMALE","BLACK","6",1974,NA
"377","5","31","FEMALE","BLACK","12",1974,NA
"378","6","44","FEMALE","BLACK","18",1974,NA
"379","9","47","MALE","WHITE","14",1974,NA
"380","7","88","MALE","WHITE","10",1974,NA
"381","8","80","FEMALE","WHITE","15",1974,NA
"382","6","18","FEMALE","WHITE","11",1974,NA
"383","10","66","FEMALE","WHITE","15",1974,NA
"384","6","20","MALE","WHITE","14",1974,NA
"385","7","72","MALE","WHITE","13",1974,NA
"386","6","72","FEMALE","WHITE","12",1974,NA
"387","4","42","FEMALE","WHITE","13",1974,NA
"388","4","19","FEMALE","WHITE","12",1974,NA
"389","10","34","MALE","WHITE","17",1974,NA
"390","7","63","MALE","WHITE","18",1974,NA
"391","8","62","MALE","WHITE","18",1974,NA
"392","4","53","FEMALE","WHITE","12",1974,NA
"393","9","60","FEMALE","WHITE","18",1974,NA
