"","WORDSUM","AGE","SEX","RACE","EDUC","YEAR"
"223","6","53","MALE","WHITE","12",1974
"224","8","56","FEMALE","WHITE","17",1974
"225","8","54","FEMALE","WHITE","12",1974
"226","4","35","MALE","WHITE","12",1974
"227","7","49","MALE","WHITE","12",1974
"228","4","69","MALE","WHITE","7",1974
"229","7","38","FEMALE","OTHER","13",1974
"230","9","75","FEMALE","WHITE","16",1974
"231","6","35","MALE","WHITE","12",1974
"232","2","66","MALE","WHITE","4",1974
"233","4","74","MALE","WHITE","8",1974
"234","4","80","FEMALE","WHITE","6",1974
"235","6","34","FEMALE","WHITE","11",1974
"236","3","22","MALE","WHITE","12",1974
"237","10","52","MALE","WHITE","13",1974
"238","9","81","FEMALE","WHITE","12",1974
"239","7","25","FEMALE","WHITE","10",1974
"240","4","19","FEMALE","WHITE","12",1974
"241","5","23","MALE","WHITE","13",1974
"242","4","20","MALE","WHITE","11",1974
"243","3","74","MALE","WHITE","7",1974
"244","8","45","FEMALE","WHITE","9",1974
"245","9","61","FEMALE","WHITE","16",1974
"246","9","71","MALE","WHITE","20",1974
"247","10","47","MALE","WHITE","17",1974
"248","10","67","FEMALE","WHITE","12",1974
"249","9","28","FEMALE","WHITE","16",1974
"250","6","59","FEMALE","WHITE","12",1974
"251","4","31","MALE","WHITE","8",1974
"252","9","36","MALE","WHITE","18",1974
"253","2","30","FEMALE","WHITE","13",1974
"254","6","38","FEMALE","WHITE","13",1974
"255","4","25","FEMALE","WHITE","10",1974
"256","8","18","MALE","WHITE","11",1974
"257","8","59","MALE","WHITE","10",1974
"258","3","59","MALE","WHITE","9",1974
"259","4","74","FEMALE","WHITE","11",1974
"260","5","44","FEMALE","WHITE","12",1974
"261","7","35","MALE","WHITE","13",1974
"262","4","75","MALE","WHITE","8",1974
"263",NA,"89 OR OLDER","FEMALE","WHITE","8",1974
"264","5","20","FEMALE","WHITE","13",1974
"265","5","72","FEMALE","WHITE","12",1974
"266","5","57","MALE","WHITE","7",1974
"267","5","38","MALE","WHITE",NA,1974
"268","3","36","FEMALE","WHITE","12",1974
"269","7","53","FEMALE","WHITE","12",1974
"270","5","55","FEMALE","WHITE","8",1974
"271","4","60","MALE","WHITE","11",1974
"272","7","56","MALE","WHITE","18",1974
"273","7","32","FEMALE","WHITE","12",1974
"274","6","50","FEMALE","WHITE","9",1974
"275","9","39","FEMALE","WHITE","12",1974
"276","8","56","MALE","WHITE","14",1974
"277","8","52","MALE","WHITE","15",1974
"278","5","52","FEMALE","WHITE","12",1974
"279","8","67","FEMALE","WHITE","12",1974
"280","7","52","FEMALE","WHITE","12",1974
"281","3","47","MALE","WHITE","0",1974
"282","7","69","MALE","WHITE","16",1974
"283","5","51","FEMALE","WHITE","9",1974
"284","7","26","FEMALE","WHITE","12",1974
"285","7","24","FEMALE","WHITE","12",1974
"286","7","24","MALE","WHITE","14",1974
"287","10","67","MALE","WHITE","11",1974
"288","9","72","MALE","WHITE","8",1974
"289","1","33","FEMALE","BLACK","12",1974
"290","6","49","FEMALE","WHITE","12",1974
"291","8","33","MALE","WHITE","13",1974
"292","7","39","MALE","WHITE","12",1974
"293","8","57","FEMALE","WHITE","10",1974
"294","8","25","FEMALE","WHITE","12",1974
"295","6","27","MALE","BLACK","14",1974
"296","7","42","MALE","BLACK","12",1974
"297","6","43","MALE","WHITE","12",1974
"298","10","62","FEMALE","WHITE","12",1974
"299","10","26","FEMALE","WHITE","17",1974
"300","4","69","MALE","WHITE","8",1974
"301","9","41","MALE","WHITE","19",1974
"302","9","41","FEMALE","WHITE","12",1974
"303","8","30","FEMALE","WHITE","15",1974
"304","10","47","FEMALE","WHITE","13",1974
"305","5","32","MALE","WHITE","12",1974
"306","5","61","MALE","BLACK","12",1974
"307","7","61","MALE","BLACK","12",1974
"308","7","39","FEMALE","WHITE","12",1974
"309","6","28","FEMALE","BLACK","13",1974
"310","9","31","MALE","WHITE","12",1974
"311","5","29","MALE","WHITE","12",1974
"312","5","61","MALE","WHITE","12",1974
"313","6","42","FEMALE","WHITE","12",1974
"314","4","23","FEMALE","WHITE","12",1974
"315","7","28","MALE","WHITE","12",1974
"316","6","42","MALE","WHITE","12",1974
"317",NA,NA,"FEMALE","WHITE","9",1974
"318","6","34","FEMALE","WHITE","16",1974
"319","5","25","FEMALE","WHITE","12",1974
"320","5","20","MALE","WHITE","13",1974
"321","5","43","MALE","WHITE","18",1974
"322","8","32","FEMALE","WHITE","15",1974
"323","4","29","FEMALE","WHITE","12",1974
"324","7","27","MALE","WHITE","16",1974
"325","7","52","MALE","WHITE","18",1974
